frame number;complex0.txt;complex1.txt;complex2.txt;complex3.txt;complex4.txt;complex5.txt;complex6.txt;complex7.txt;complex8.txt;complex9.txt;simple0.txt;simple1.txt;simple2.txt;simple3.txt;simple4.txt;simple5.txt;simple6.txt;simple7.txt;simple8.txt;simple9.txt;
208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
209;0;0.183;7.109;0;0.043;0.015;0.043;0.016;0.125;0.172;0;0.001;0.015;0;0.016;0.015;0;0;0.031;0.062;
210;0;0.196;7.879;0.001;0.033;0.031;0.025;0.015;0.125;0.188;0;0;0;0;0;0;0;0;0;0;
211;0;0.48;17.835;0;0.058;0.055;0.056;0.047;0.187;0.297;0;0;0;0;0;0;0;0;0;0;
212;0;0;0;0;0;0;0.001;0;0;0;0;0.002;0.013;0;0;0.009;0.016;0.016;0.031;0.047;
213;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;0;0;0;0;0;
214;0;0.372;12.658;0.001;0.044;0.034;0.032;0.047;0.171;0.25;0;0;0;0;0;0;0;0;0;0;
215;0;0.235;7.954;0;0.037;0.038;0.034;0.031;0.125;0.172;0;0;0;0.001;0;0;0;0;0;0;
216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
217;0;0;0;0;0;0;0;0;0;0;0;0.001;0.016;0;0.016;0.016;0.007;0;0.032;0.047;
218;0;0;0;0;0;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0.002;0;0;0;
221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
222;0;0;0;0;0;0;0;0;0;0;0;0.001;0.016;0;0.016;0.008;0.014;0.016;0.031;0.047;
223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;0;
226;0;0;0;0;0;0;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;
227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
229;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;0;0;0;0;0;
230;0;0.425;13.159;0.002;0.077;0.047;0.04;0.031;0.172;0.25;0;0;0;0;0;0;0;0;0;0;
231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
232;0;0.108;2.669;0.001;0.018;0.016;0.03;0.016;0.094;0.125;0;0;0;0;0;0;0;0;0;0;
233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
234;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;0;0.014;0.016;0;0;
235;0;0.276;9.764;0.001;0.05;0.031;0.034;0.031;0.156;0.219;0;0;0;0;0;0;0;0;0;0;
236;0;0;0;0;0;0;0;0;0;0;0;0.001;0.016;0;0.015;0.023;0.009;0.016;0.031;0.047;
237;0;0;0;0;0;0;0;0;0;0;0;0.001;0.018;0;0;0;0.013;0.016;0.031;0.047;
238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
239;0;0.283;9.612;0;0.059;0.031;0.034;0.031;0.141;0.219;0;0.001;0.015;0;0.015;0.016;0.008;0.016;0.016;0.046;
240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
243;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
244;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
245;0;0;0;0;0;0;0;0;0;0;0;0.001;0.016;0.001;0;0;0.008;0;0.031;0.047;
246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;
247;0;0;0;0;0;0.015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
248;0;0.433;16.287;0;0.044;0.047;0.041;0.031;0.187;0.265;0;0;0;0;0;0;0;0;0;0;
249;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0.001;0;0;0;0;0;0;
250;0;0.032;0.677;0;0;0;0.002;0.016;0.047;0.063;0;0;0;0;0;0;0;0;0;0;
251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
252;0;0;0;0;0;0;0;0;0;0;0;0.001;0.016;0;0;0.015;0.007;0;0.031;0.047;
253;0;0;0;0;0;0;0;0;0;0;0;0.002;0.016;0;0.015;0.016;0.008;0.015;0.031;0.047;
254;0;0;0;0;0;0;0;0;0;0;0;0.001;0.012;0;0;0.016;0.008;0.016;0.031;0.047;
255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
257;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;0.016;0;0;0;0;
258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;
260;0;0.406;14.131;0;0.8;0.79;0.816;0.75;0.391;0.78;0;0;0;0.001;0;0;0;0;0;0;
261;0;0;0;0;0;0;0;0;0;0;0;0.002;0;0;0;0.011;0.008;0.016;0.032;0.046;
262;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0.001;0.015;0.008;0;0.015;0.031;0.047;
263;0;0.257;8.995;0.001;0.044;0.032;0.045;0.031;0.156;0.219;0;0;0;0;0;0;0;0;0;0;
264;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;0;0;0;
265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
268;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
271;0;0.334;11.353;0;0.037;0.032;0.036;0.031;0.157;0.234;0;0.002;0;0;0.015;0.016;0.007;0;0.031;0.047;
272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
273;0;0;0;0;0;0;0;0;0;0;0;0.002;0.016;0;0.015;0.007;0.007;0.016;0.031;0.031;
274;0.004;0.13;2.015;0.001;0.031;0.031;0.02;0.015;0.094;0.141;0;0;0;0;0;0;0;0;0;0;
275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
277;0.004;0.222;7.803;0;0.031;0.042;0.032;0.031;0.125;0.188;0;0;0;0;0;0;0;0;0;0;
278;0;0.125;4.282;0;0.037;0.031;0.021;0.015;0.094;0.141;0;0.001;0.016;0;0.015;0;0.009;0;0.032;0.063;
279;0;0.233;6.201;0.001;0.047;0.047;0.034;0.032;0.14;0.203;0;0;0;0;0;0;0;0;0;0;
280;0;0.139;4.484;0;0.328;0.282;0.458;0.25;0.141;0.282;0;0;0;0;0;0;0;0;0;0;
281;0;0;0;0;0;0;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;
282;0;0;0;0;0;0;0;0;0;0;0;0.001;0.014;0.001;0.013;0.024;0.009;0;0.031;0.047;
283;0;0.493;16.735;0;0.057;0.047;0.06;0.031;0.188;0.281;0;0;0;0;0;0;0;0;0;0;
284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;
285;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;0;0;0;
286;0;0.151;4.797;0;0.031;0.031;0.025;0.016;0.11;0.157;0;0;0;0;0;0;0;0;0;0;
287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
289;0;0;0;0;0;0;0;0;0;0;0;0.002;0.016;0;0.016;0.016;0.009;0.016;0.047;0.046;
290;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
291;0;0;0;0;0;0;0;0;0;0.016;0;0;0;0;0;0;0;0;0;0;
292;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
293;0.004;0.12;3.622;0;0.031;0.027;0.015;0.016;0.094;0.141;0;0.001;0;0;0;0;0;0;0;0;
294;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
295;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
296;0;0.407;14.725;0.001;0.055;0.032;0.032;0.047;0.187;0.266;0;0;0;0;0;0;0;0;0;0;
297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
298;0;0;0;0;0.001;0;0;0;0;0;0;0.002;0.015;0;0.02;0.015;0.009;0.015;0.031;0.046;
299;0;0.213;6.51;0;0.055;0.031;0.031;0.015;0.125;0.188;0;0;0;0;0;0;0;0;0;0;
300;0;0.11;3.658;0;0.236;0.236;0.25;0.25;0.109;0.25;0;0;0;0;0;0;0;0;0;0;
301;0;0;0;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
303;0.016;0.031;0.393;0;0.012;0.02;0;0;0.047;0.063;0;0.001;0.016;0;0.015;0.015;0.008;0.016;0.032;0.046;
304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
305;0;0;0;0;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
306;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;0;0;0;0;0;
307;0.015;0.761;26.306;0;0.07;0.053;0.047;0.047;0.219;0.328;0;0;0;0;0;0;0;0;0;0;
308;0;0;0;0;0;0;0;0;0;0;0;0.001;0.015;0.001;0;0.016;0.008;0.016;0.031;0.047;
309;0;0.303;7.531;0;0.057;0.023;0.043;0.032;0.156;0.234;0;0;0;0.001;0;0;0;0;0;0;
310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
311;0;0;0;0;0;0;0;0;0;0;0;0.002;0.016;0;0.015;0.015;0.008;0;0.031;0.047;
312;0;0;0;0;0;0;0;0;0;0;0;0.002;0.016;0;0.015;0.016;0.009;0;0.032;0.047;
313;0;0.621;23.353;0.002;0.073;0.058;0.051;0.047;0.235;0.328;0;0;0;0;0;0;0;0;0;0;
314;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
315;0;0;0;0;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
317;0;0.417;14.633;0;0.052;0.048;0.044;0.047;0.172;0.266;0;0;0;0;0;0;0;0;0;0;
318;0.015;0.876;24.315;0;0.07;0.06;0.048;0.047;0.219;0.328;0;0;0;0;0;0;0;0;0;0;
319;0;0;0;0;0;0.001;0;0;0;0;0;0;0;0.001;0;0;0;0;0;0;
320;0;0;0;0;0;0;0;0;0;0;0;0;0.016;0;0;0.002;0.004;0;0;0;
321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
322;0;0;0;0.001;0;0.001;0;0;0;0;0;0.001;0.015;0;0.016;0.016;0.007;0;0.031;0.047;
323;0;0.481;17.801;0;0.053;0.047;0.045;0.047;0.203;0.297;0;0;0;0;0;0;0;0;0;0;
324;0;0.533;20.597;0.001;0.054;0.06;0.058;0.047;0.203;0.312;0;0;0;0;0;0;0;0;0;0;
325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
326;0;0;0;0;0;0;0;0;0;0;0;0;0.007;0;0;0.021;0.015;0;0.047;0.062;
327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.015;0;0;
328;0;0;0;0;0;0;0;0;0;0;0;0.016;0.015;0.001;0.016;0;0;0;0.031;0.047;
329;0;0.549;19.018;0.001;0.064;0.047;0.047;0.047;0.203;0.297;0;0;0.016;0;0.016;0.01;0.012;0;0.031;0.062;
330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
331;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;0;
332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
333;0;0.233;9.69;0.001;0.046;0.048;0.029;0.031;0.141;0.219;0;0;0;0;0;0;0;0;0;0;
334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.009;0;0;0;0;
335;0;0.062;1.944;0.001;0.027;0.018;0.012;0.016;0.062;0.078;0;0;0;0;0;0;0;0;0;0;
336;0;0;0;0;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
337;0;0.203;7.516;0;0.032;0.044;0.031;0.032;0.141;0.203;0.016;0.001;0;0;0;0;0;0;0;0;
338;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
339;0.004;0.148;5.844;0;0.032;0.031;0.019;0.031;0.109;0.156;0;0;0;0;0;0;0;0;0;0;
340;0;0.115;3.344;0;0.258;0.288;0.222;0.22;0.11;0.22;0;0;0.016;0;0;0.002;0.002;0.032;0.016;0;
341;0;0;0;0;0.016;0;0;0;0;0;0;0;0.015;0;0;0;0.01;0.016;0.032;0.046;
342;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
343;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
344;0;0;0;0;0;0;0;0;0;0;0;0;0.012;0.016;0.007;0.016;0;0;0.031;0.046;
345;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
346;0;0.23;8.28;0;0.04;0.031;0.03;0.031;0.125;0.203;0;0;0;0;0;0;0;0;0;0;
347;0;0;0;0;0;0;0;0;0;0;0;0;0.016;0;0.011;0.016;0.007;0;0.031;0.047;
348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0.016;0.008;0;0.032;0.031;
349;0;0;0;0;0;0;0;0;0;0;0;0;0.015;0;0.012;0.016;0.008;0.015;0.031;0.046;
350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
351;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
352;0;0.355;10.811;0.002;0.047;0.032;0.035;0.032;0.156;0.235;0;0;0;0;0;0;0;0;0;0;
353;0;0;0;0;0;0;0;0.016;0;0;0;0;0.016;0;0.016;0.016;0.009;0;0.047;0.063;
354;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
355;0;0.376;13.442;0.001;0.047;0.047;0.043;0.047;0.172;0.266;0;0;0;0;0;0;0;0;0;0;
356;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
357;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;
358;0;0.25;7.944;0.001;0.047;0.03;0.02;0.031;0.14;0.203;0;0;0;0;0;0;0;0;0;0;
359;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0.016;0.008;0.007;0.015;0.031;0.047;
360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
361;0.016;0.331;9.974;0.002;0.047;0.031;0.035;0.031;0.156;0.234;0;0;0;0;0;0;0;0;0;0;
362;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
364;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
366;0.016;0.247;6.375;0.001;0.032;0.031;0.032;0.032;0.125;0.203;0;0;0;0;0;0;0;0;0;0;
367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
368;0;0.1;3;0.001;0.031;0.016;0.019;0.015;0.078;0.125;0;0;0;0;0;0;0;0;0;0;
369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;0;
370;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
371;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
373;0.016;0.69;26.01;0.001;0.08;0.077;0.073;0.063;0.312;0.422;0;0;0;0;0;0;0;0;0;0;
374;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0.001;0;0;0;
376;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
377;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
378;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
379;0;0;0;0;0;0;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;
380;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
381;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
382;0;0;0;0;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
383;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
384;0;0;0;0;0;0;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;
385;0.015;0.923;34.548;0;0.086;0.069;0.071;0.062;0.297;0.437;0;0;0;0;0;0;0;0;0;0;
386;0;0;0;0;0;0;0;0;0;0;0;0;0.005;0;0;0.009;0.008;0.015;0.031;0.047;
387;0;0;0;0;0;0.001;0;0;0;0;0;0;0.016;0;0.015;0.002;0.008;0.015;0.031;0.047;
388;0;0;0;0;0;0.016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
390;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
391;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;0;0;0;
392;0;0;0;0;0;0;0;0;0;0;0;0.001;0.016;0;0.002;0;0;0;0.031;0.047;
393;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
394;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;0;0;0;0;0;
395;0;0;0;0;0;0;0;0;0;0;0.016;0;0.016;0.001;0.012;0.009;0.006;0.016;0.031;0.063;
396;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
397;0;0;0;0;0;0;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;
398;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
399;0;0;0;0;0;0;0.001;0;0;0;0;0;0.016;0;0.012;0;0.009;0.016;0.032;0.047;
400;0;0.624;20.649;0.002;1.378;1.288;1.236;1.126;0.562;1.156;0;0;0;0;0;0;0;0;0;0;
401;0;0;0;0;0;0;0;0;0;0;0;0;0.016;0;0.016;0.008;0.008;0.015;0.047;0.047;
402;0;0;0;0;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
404;0;0;0;0;0;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
407;0;0.242;8.32;0.001;0.048;0.044;0.021;0.032;0.171;0.219;0;0;0;0;0;0;0;0;0;0;
408;0;0.032;0.781;0;0.018;0.016;0.009;0.016;0.047;0.078;0;0;0;0;0;0;0.001;0;0;0;
409;0;0.245;9.066;0.001;0.045;0.049;0.04;0.031;0.156;0.203;0;0;0.016;0;0.012;0.009;0.009;0.015;0.032;0.062;
410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
411;0;0.141;4.685;0.001;0.034;0.029;0.033;0.015;0.109;0.156;0;0;0;0;0;0;0;0;0;0;
412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
414;0;0.577;19.769;0;0.072;0.047;0.054;0.047;0.234;0.328;0;0;0;0;0;0;0;0;0;0;
415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0.018;0.006;0;0.031;0.047;
416;0;0;0;0;0;0;0;0;0;0;0;0;0.015;0;0.017;0.009;0.009;0;0.031;0.047;
417;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
418;0;0;0;0;0;0;0;0;0;0;0;0;0.015;0;0.02;0.008;0;0;0.047;0.063;
419;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
